SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
69,0,0,10,OLSR,7.5
70,0,0,10,OLSR,7.5
71,0,0,10,OLSR,7.5
72,0,0,10,OLSR,7.5
73,0,0,10,OLSR,7.5
74,0,0,10,OLSR,7.5
75,0,0,10,OLSR,7.5
76,0,0,10,OLSR,7.5
77,0,0,10,OLSR,7.5
78,0,0,10,OLSR,7.5
79,0,0,10,OLSR,7.5
80,0,0,10,OLSR,7.5
81,0,0,10,OLSR,7.5
82,0,0,10,OLSR,7.5
83,0,0,10,OLSR,7.5
84,0,0,10,OLSR,7.5
85,0,0,10,OLSR,7.5
86,0,0,10,OLSR,7.5
87,0,0,10,OLSR,7.5
88,0,0,10,OLSR,7.5
89,0,0,10,OLSR,7.5
90,0,0,10,OLSR,7.5
91,0,0,10,OLSR,7.5
92,0,0,10,OLSR,7.5
93,0,0,10,OLSR,7.5
94,0,0,10,OLSR,7.5
95,0,0,10,OLSR,7.5
96,0,0,10,OLSR,7.5
97,0,0,10,OLSR,7.5
98,0,0,10,OLSR,7.5
99,0,0,10,OLSR,7.5
100,0,0,10,OLSR,7.5
101,3.584,7,10,OLSR,7.5
102,6.144,12,10,OLSR,7.5
103,9.216,18,10,OLSR,7.5
104,10.24,20,10,OLSR,7.5
105,10.24,20,10,OLSR,7.5
106,8.192,16,10,OLSR,7.5
107,8.704,17,10,OLSR,7.5
108,8.192,16,10,OLSR,7.5
109,8.192,16,10,OLSR,7.5
110,8.192,16,10,OLSR,7.5
111,8.704,17,10,OLSR,7.5
112,6.144,12,10,OLSR,7.5
113,5.12,10,10,OLSR,7.5
114,4.096,8,10,OLSR,7.5
115,6.144,12,10,OLSR,7.5
116,6.144,12,10,OLSR,7.5
117,8.704,17,10,OLSR,7.5
118,10.24,20,10,OLSR,7.5
119,10.24,20,10,OLSR,7.5
120,8.704,17,10,OLSR,7.5
121,7.168,14,10,OLSR,7.5
122,4.608,9,10,OLSR,7.5
123,4.096,8,10,OLSR,7.5
124,4.096,8,10,OLSR,7.5
125,4.096,8,10,OLSR,7.5
126,4.096,8,10,OLSR,7.5
127,4.096,8,10,OLSR,7.5
128,4.096,8,10,OLSR,7.5
129,6.656,13,10,OLSR,7.5
130,8.192,16,10,OLSR,7.5
131,9.216,18,10,OLSR,7.5
132,9.216,18,10,OLSR,7.5
133,8.192,16,10,OLSR,7.5
134,8.192,16,10,OLSR,7.5
135,8.192,16,10,OLSR,7.5
136,5.632,11,10,OLSR,7.5
137,7.168,14,10,OLSR,7.5
138,6.144,12,10,OLSR,7.5
139,7.68,15,10,OLSR,7.5
140,7.68,15,10,OLSR,7.5
141,7.68,15,10,OLSR,7.5
142,8.192,16,10,OLSR,7.5
143,10.24,20,10,OLSR,7.5
144,10.24,20,10,OLSR,7.5
145,9.216,18,10,OLSR,7.5
146,5.12,10,10,OLSR,7.5
147,4.096,8,10,OLSR,7.5
148,4.096,8,10,OLSR,7.5
149,4.096,8,10,OLSR,7.5
150,4.096,8,10,OLSR,7.5
151,6.144,12,10,OLSR,7.5
152,10.24,20,10,OLSR,7.5
153,6.144,12,10,OLSR,7.5
154,6.144,12,10,OLSR,7.5
155,9.728,19,10,OLSR,7.5
156,12.8,25,10,OLSR,7.5
157,12.288,24,10,OLSR,7.5
158,12.288,24,10,OLSR,7.5
159,14.848,29,10,OLSR,7.5
160,14.336,28,10,OLSR,7.5
161,15.36,30,10,OLSR,7.5
162,19.968,39,10,OLSR,7.5
163,18.432,36,10,OLSR,7.5
164,17.408,34,10,OLSR,7.5
165,11.264,22,10,OLSR,7.5
166,9.728,19,10,OLSR,7.5
167,11.264,22,10,OLSR,7.5
168,9.728,19,10,OLSR,7.5
169,9.728,19,10,OLSR,7.5
170,9.216,18,10,OLSR,7.5
171,8.192,16,10,OLSR,7.5
172,10.24,20,10,OLSR,7.5
173,14.848,29,10,OLSR,7.5
174,14.336,28,10,OLSR,7.5
175,12.8,25,10,OLSR,7.5
176,14.848,29,10,OLSR,7.5
177,15.872,31,10,OLSR,7.5
178,16.384,32,10,OLSR,7.5
179,14.848,29,10,OLSR,7.5
180,8.704,17,10,OLSR,7.5
181,11.264,22,10,OLSR,7.5
182,14.336,28,10,OLSR,7.5
183,13.824,27,10,OLSR,7.5
184,12.288,24,10,OLSR,7.5
185,15.872,31,10,OLSR,7.5
186,17.408,34,10,OLSR,7.5
187,18.432,36,10,OLSR,7.5
188,15.36,30,10,OLSR,7.5
189,15.36,30,10,OLSR,7.5
190,14.336,28,10,OLSR,7.5
191,13.312,26,10,OLSR,7.5
192,11.264,22,10,OLSR,7.5
193,10.24,20,10,OLSR,7.5
194,9.728,19,10,OLSR,7.5
195,10.24,20,10,OLSR,7.5
196,9.728,19,10,OLSR,7.5
197,12.288,24,10,OLSR,7.5
198,14.336,28,10,OLSR,7.5
199,11.264,22,10,OLSR,7.5
